sample_id,cer,prediction,ground_truth,num_tokens,mean_gradcam_gini,mean_attention_gini,mean_loss
24,0.075,non so morta n fui mai sì baldissima.,non so' morta non fui mai sì baldissima.,20,0.6865995193095839,0.4200219807704567,21.410558020998973
25,0.08108108108108109,Ben sì move aquesto panto per contar,Ben si move a questo pacto per contar,14,0.7244208081384811,0.4204648639516234,22.518990843438313
26,0.2,tutto lo facto conne a reral grande,tutto lo facto come areca 'l grand',15,0.7260244638713007,0.4277426275961696,17.90630081477864
27,0.20689655172413793,a canto di la più no phillissima.,acatto di la più nobilissima.,15,0.6954203186908015,0.40299171941460243,17.121080382631522
28,0.12,Madonna sancta Maria merce,Madonna santa Maria merçé,11,0.6534828043561237,0.47861725355282475,17.243528586113733
29,0.07142857142857142,de noi peccatori fave prego,de noi peccatori faite prego,14,0.7449634559062712,0.40993239533950604,20.032815538995326
30,0.0,se fa kiamare.,se fa kiamare.,9,0.6799265816402907,0.41348199342941044,18.082200046446914
31,0.0967741935483871,Penetentia penetentia domand' a la,Penetentia penetentia domandala,13,0.6804697375295193,0.4410103172498683,19.48826202937128
32,0.1,conreverentia omgrno pensi la,con reverentia omgnom pensi la,13,0.7060640056721013,0.43181062744375825,16.90012689729446
33,0.02702702702702703,sententia ke non sè dia mai revocare.,sententia ke non se dia mai revocare.,17,0.7187574345117116,0.4099847444803526,22.237916214717455
34,0.03125,Iesù Cristo manda pace scampane,Ihesù Cristo manda pace scampane,15,0.748077248014189,0.44482953776000905,18.152484273871472
35,0.037037037037037035,da la fornace la qual gemar,da la fornace la qual gemai,12,0.6899642219077337,0.40700199229369743,19.53454126545692
36,0.06666666666666667,altro non face chri peccatori,altro non face che i peccatori,13,0.6845982655905538,0.39684355704103247,21.57259716435671
37,0.08333333333333333,a tormentare.,atormentare.,7,0.5989885047128165,0.37939030268739954,17.268858762374357
38,0.2,Ave Maria gran plena virgença,Ave Maria gratia plena vergene,13,0.6662376427326139,0.4258259905338415,19.139706648306923
39,0.0,madre beata.,madre beata.,8,0.5903848552822741,0.4385709786565532,18.98028175479881
40,0.08571428571428572,Ave Maria gran plena stella diana,Ave Maria gratia plena stella diana,14,0.6729497706910624,0.4984985277472212,20.791841886584148
41,0.0,luce serena de vita via per cui de,luce serena de vita via per cui de,16,0.7145037323663861,0.44800726238831023,22.055516749388886
42,0.08333333333333333,pena e la gente liberata.,pena è la gent liberata.,12,0.632017535131193,0.4238266022745134,21.917052495795332
43,0.3333333333333333,call' and lo.,coll'anello.,8,0.6864872794491972,0.4309348193441932,17.027519986020692
44,0.03225806451612903,L'angelo fo messo da Dio bene co,L'angelo fo messo da Dio ben co,14,0.6794818984366169,0.4318883784918615,21.189388692368475
45,0.15151515151515152,menço et ben finio saviamte se,mençò et ben finìo saviamente sen,17,0.6839622416522904,0.39185621307261786,18.017401996770587
46,0.03333333333333333,ça rio anuntio lo suo libello.,ça rio anuntiò lo suo libello.,17,0.6932803890837835,0.39628249064666393,20.902428773039862
47,0.09090909090909091,Ave Maria gran plena Dio ti sal,Ave Maria gratia plena Dio ti sal,14,0.6940897820143715,0.4361873894595884,22.778156484706674
48,0.0,vi stella serena Dio è con teco,vi stella serena Dio è con teco,16,0.70870359885636,0.43691217032134955,20.126474522050103
49,0.09090909090909091,ché ti mina ennel paradiso bello,che ti mena ennel paradiso bello.,14,0.6857990048227566,0.4008474099683144,20.914337120949085
50,0.0,Fra le femene sè benedecta più,Fra le femene sè benedecta più,16,0.6408996005777772,0.44626270459291895,19.55991214886304
51,0.08823529411764706,ke null' altra ke sia d'erta Spiritu,ke null'altra ke sia decta Spiritu,16,0.7531171997971274,0.41766653346776417,22.936135488101797
52,0.1,sancto sì ta electa per la melio sença,Sancto sì t'à electa per la melior sença,20,0.6667539253056335,0.38963284639091667,20.466518700122684
53,0.125,ri bello.,ribello.,6,0.5883253893272281,0.4242898111307958,15.405960002859047
54,0.09375,Del tuo ventre iiscira tal fructo,Del tuo ventre uscirà tal fructo,16,0.6969728078784216,0.4528436543559061,21.266814724952923
55,0.12903225806451613,vole avere sè non voi conkio,vole avere se non voi con k' io,15,0.7555117298903856,0.42500302665220835,21.631266916597564
56,0.0,favello.,favello.,7,0.6204737895928999,0.4228292613771972,16.362532132970255
57,0.029411764705882353,Filiol di l'altissimo fie chiamato,Filiol di l'Altissimo fie chiamato,16,0.6732435263662426,0.43558538324690826,18.96844837068874
58,0.09302325581395349,Ihesù Cristo in on lato per lui fil mon,Ihesù Cristo in oni lato per lui fi' 'l mon,22,0.729735734663732,0.3925601683140934,21.52978192134333
59,0.0,do salvato et tracto de le man,do salvato et tracto de le man,12,0.6746853909970602,0.4444186758454,20.80135770638363
60,0.0,del fello.,del fello.,7,0.6578080406808507,0.4514677937284777,18.130041322470074
61,0.030303030303030304,Tu sè regina et elli e reie virgo,Tu sè regina et elli è reie virgo,17,0.6638919182015877,0.4411089395570323,21.483666426478166
62,0.13333333333333333,maria crede a mele non aura fi,Maria crede a meie non avrà fi,14,0.6524633266525469,0.3831197782111107,19.649596988525868
63,0.0625,né il dice a teie lo so regno al,ne il dico a teie lo so regno al,15,0.7436306511026138,0.42337761162756066,20.078200546899144
64,0.0625,tissimo e bello,tissimo e bello.,10,0.6124320461525442,0.4398316290031693,17.608159204781984
65,0.07142857142857142,El Psabeth tua cognata in sua,Elysabeth tua cognata in sua,13,0.7069376250982006,0.43315767043780384,22.70546035578724
66,0.2857142857142857,vekieça en gravidata non ne,vechieça è 'ngravidata non è,16,0.6450807124681102,0.42574937655645284,17.611153826101145
67,0.03571428571428571,splendore in voi dolçe amore.,splendore in voi dolçe amore,15,0.7247680932470727,0.422721569704778,22.593524736231924
68,0.0,agiam consolança.,agiam consolança.,9,0.6533428183804971,0.4018958692504738,19.3140363558909
69,0.058823529411764705,Ave regina pulçella morosa stella,Ave regina pulçell' amorosa stella,16,0.7332096960270043,0.459897901120469,20.613412089280615
70,0.03225806451612903,marina ke non stainascosa luce,marina ke non stai nascosa luce,14,0.6660696160230603,0.439281564425872,21.456007786654418
71,0.0,divina virtù gratiosa belleça,divina virtù gratiosa belleça,14,0.676242014924627,0.43646451705947203,22.78431556041218
72,0.03571428571428571,for mosa di Dio sè semblança.,formosa di Dio sè semblança.,15,0.6688514786985968,0.4278128187266402,20.047107138147105
73,0.03125,Templo sacrato ornato vasello a,Templo sacrato ornato vasello an,14,0.6752237884517106,0.445366487116916,21.11312163571285
74,0.25,nutiato da san Gabriello.,nuntiato da san Gabriello Cristo,14,0.7147947429053676,0.4337145797816486,19.821250676204436
75,0.06666666666666667,incarnato nel tuo ventre bellio.,incarnato nel tuo ventre bello,13,0.6458904911369087,0.43110382124113655,21.38577032547721
76,0.08571428571428572,fructo novello cun gran dilechança,fructo novello cun gran delectança.,17,0.7080310599540854,0.44010705724262045,21.634776016930097
77,0.24242424242424243,Vergimentade a Dio per mecteste unna,Verginitade a Dio prometteste uma,15,0.7159966634402327,0.3986175414704078,17.980889213085053
78,0.25,nita collui con ungeste cun primeri,nità co ·llui coniungeste cun purità,18,0.6799777684276419,0.42921637772556426,17.73883355377863
79,0.06666666666666667,Dami conforto madre del amore,Dami conforto madre de l'amore,15,0.7027948935104509,0.4511750204897151,22.79479017252354
80,0.02857142857142857,et mette fuoco et fianba nel mio co,et mette fuoco et fiamba nel mio co,17,0.6933738914695021,0.40879295849760994,19.85832785141105
81,0.04878048780487805,re ki t'amasse tanto a tutte l'ore k'io,re k'i' t'amasse tanto a tutte l'ore k'io,23,0.7236107529448875,0.4101835338559348,21.985158490086278
82,0.0,ne transmortisse spessamente.,ne transmortisse spessamente.,12,0.6721770364034027,0.4699520885309209,20.074286561387606
83,0.02564102564102564,Vergine bella for sovr'ogni rosa sença,Vergine bella fior sovr'ogni rosa sença,19,0.7054279420311707,0.4612881936544837,20.82538432823636
84,0.06451612903225806,carnal' amore sè dilectosa amata.,carnal amore sè dilectosa amata,15,0.6921341769858056,0.41183938625500804,21.661653673276223
85,0.05555555555555555,fosti et sè sovr'ogni cosa nel para,fosti et se' sovr'ogni cosa nel para,19,0.7082863579014956,0.43533687569086416,21.15527206416989
86,0.041666666666666664,diso se la più piacente.,diso sè la più piacente.,15,0.6919770252676761,0.4296642082885457,22.16354707306018
87,0.030303030303030304,Per voi ne piango molti sospiran,Per voi ne piangon molti sospiran,17,0.687816226615957,0.4426407647029502,20.61074603394837
88,0.0625,d'okiedendo lo tuo amore van gri,do kiedendo lo tuo amore van gri,14,0.7088705336184316,0.41507918251939424,21.03798035003378
89,0.15151515151515152,dando le Gauli occhi in alto ami,dando levan li occhii in alto ami,17,0.6848840092457571,0.39603838503990274,20.141963748300682
90,0.0,rando or ti ci dona gaudio de la gente.,rando or ti ci dona gaudio de la gente.,18,0.7101264732764733,0.3908629918100842,21.691878967783964
91,0.11764705882352941,Comiciamto fosti madre bella da,Cominciamento fosti madre bella di,15,0.7412406941826801,0.4392902294464962,19.30713315610598
92,0.08333333333333333,stancasta virgene donçella per voi,stari casta virgene donçella per voi,16,0.7205919614506763,0.4288118948686447,21.66552813341923
93,0.05555555555555555,fioresci 'l mondo et rinovella reina,fioresc' il mondo et rinovella reina,16,0.6528283250509677,0.41536315543326163,19.28054069139762
94,0.0,sovra li angeli resplendente.,sovra li angeli resplendente.,13,0.6752814282706012,0.4497497452152079,20.757769208510013
95,0.16666666666666666,porta bene morto chi non è a corto,porto ben' è morto chi nonn è acorto,19,0.6987450296741814,0.39407276685694353,20.49975634696619
96,0.13953488372093023,servire mai s'aglige non porra in alegran,servire mai saglire non porrà in alegrança.,20,0.6699090901895253,0.3898260040216094,21.045252459395282
97,0.07894736842105263,Rocca forte sença porte dan socorso,Rocca forte sença porte da' 'n socorso,19,0.7162246923029323,0.4329575291461672,21.585555396561844
98,0.02857142857142857,ché sorte de la morte vien de corso.,ché sorte de la morte vien de corso,16,0.703261499666541,0.44619748636930556,21.31008831411058
99,0.02857142857142857,io sum s'al chun sorso di savore dal,io sum s'alchun sorso di savore dal,17,0.6775771352682647,0.4060132990116731,20.837181792506204
100,0.0,tu' amore non me viem mie dolça,tu' amore non me viem mie dolça,16,0.6623847222966869,0.4358086497540127,21.15722565351473
101,0.0,amança.,amança.,6,0.4999703915882067,0.41164528087820323,14.896955074300726
102,0.08571428571428572,Granrugiata candidata pure necta,Gran rugiata candidata pur' e necta,16,0.6722484285801644,0.44351617769321605,20.922168217435676
103,0.15,anti nata perbeata da dielecta tu mu,anti nata per beata da Di' electa tu m'a,18,0.6820210466074671,0.3966811665707007,19.58190719285757
104,0.1388888888888889,specta chio remetta chio sun ciso,specta ch'io remetta ch'io su 'nciso,17,0.7012440423291428,0.4220183142633266,20.845990405362983
105,0.3157894736842105,ma la essio chio non v'adampdança.,mal assiso ch'io non vada 'n perdança.,18,0.7126422859822713,0.38996582260627943,20.52642458013921
106,0.1794871794871795,Dolç' aurora frescestosa riscrena la,Dolç' aurora fresc' et sora riserena la,19,0.7066569042511474,0.47016190964906623,19.906073243994307
107,0.13513513513513514,fina de stelle te data gran divina,fina de stelle t'è data gratia divina,16,0.7307607210572569,0.43431696110420137,21.75081922498066
108,0.325,t'afacta amata k'è tam venerança.,t'à facta amantata ke t'ài 'n venerança.,22,0.6661178095125616,0.408624157536104,19.074067196712534
109,0.0,Tu retrovasti el thesauro smaruto,Tu retrovasti el thesauro smaruto,16,0.667091608651503,0.479522254320532,22.50433941922094
110,0.03225806451612903,tu retrovasti l'om k'era caduto.,tu retrovasti l'om k'era caduto,16,0.7510741697653145,0.44322799045189676,21.9684685317701
111,0.09090909090909091,quandascoltasti lo dolçe saluto.,quand' ascoltasti lo dolçe saluto,18,0.6877038554880487,0.3973130512185345,21.523937529670032
112,0.0,cun grande fidança.,cun grande fidança.,11,0.6819990011433009,0.4107312300293382,20.783776726283985
113,0.029411764705882353,Arbor frondosa ké fai dolçe fructo,Arbor frondosa ke fai dolçe fructo,18,0.7254654073756678,0.4427978488622486,22.173460914173674
114,0.10256410256410256,de Cristo se sposa ké nostro conducto.,de Cristo se' sposa k'è nostro conducto,17,0.732504608981891,0.3961602537681197,22.246757998179927
115,0.0,dacti riposo de questo gran lucto,dacti riposo de questo gran lucto,15,0.6591568348384167,0.4361925816038595,23.261837347345136
116,0.3888888888888889,et don alegrança a mer,et don' alegrança.,11,0.6813257319638886,0.39446847795242945,20.823443011804056
117,0.0625,Ave dei genitrix,Ave Dei genitrix,10,0.7154996876815802,0.40288638204773275,17.332760023909213
118,0.1111111111111111,respondesti ecco me kio su,respondesti eccome k'io sun,12,0.6913862211011977,0.41818921262645753,20.83443202380454
119,0.16666666666666666,su' ancella.,sua 'ncella.,9,0.6306237000069422,0.41232158212983755,16.64516247429876
120,0.10344827586206896,O Mari virgene pura porta se,O Maria virgine pura porta sè,14,0.6781026483471314,0.41923290462685264,21.71262650371392
121,0.058823529411764705,del cielo secura ke per te ventra,del cielo sicura ke per te v'entra,17,0.736477008854886,0.44896062660083536,20.52164682328204
122,0.14285714285714285,non trova mura ne serraine ké,non trova mura né serrame ke,13,0.6744820648107263,0.42829728893977104,21.871182550802097
123,0.0,lo retegna.,lo retegna.,9,0.719889343265442,0.4494214321741181,18.578338172668232
124,0.0,O Maria cun gram pietade a voi,O Maria cun gram pietade a voi,14,0.6724712370480169,0.42286094744464925,24.999758998729444
125,0.037037037037037035,kiaman cun humilitade ke tu,kiamam cun humilitade ke tu,13,0.718537650739304,0.41873626818461485,19.69018739519204
126,0.0967741935483871,ce debia sempraitare dal nini,ce debia sempr' aitare dal nimi,16,0.7090530657555053,0.417115202017801,20.26550862190191
127,0.15,co ke non è prenda,co ke non ce prenda.,10,0.6336593338925958,0.42406796086868503,19.685529365716484
128,0.0,Ave vergene gaudente madre,Ave vergene gaudente madre,13,0.6882004212014855,0.42863581589127825,20.11081198137253
129,0.17647058823529413,de lo unipotente.,de l'Omnipotente.,12,0.6845504197435001,0.4257088231258627,19.717634985821103
130,0.0,Lo Signor per maravegla de te fei,Lo Signor per maravegla de te fei,15,0.7154206500541063,0.424166807458275,21.342822837736033
131,0.06451612903225806,ce madre e filia rosa biamche,ce madre e filia rosa biamch' e,16,0.686475743960717,0.4097587387783203,22.15903393171118
132,0.20512820512820512,venne gloria sovr' ogl'altro fiore aulente.,vermegla sovr'ogl' altro fiore aulente.,20,0.7407310719773088,0.4348978723203746,21.083011179042863
133,0.08571428571428572,Eravamon per dimento per lo nostro,Eravamo 'n perdimento per lo nostro,16,0.6558884694571195,0.45172174898629386,21.820089830784028
134,0.08333333333333333,fortet dura non fallasti perké t'm,fort' et dura non fallasti perké tam,15,0.6762705573502739,0.4213460754577026,23.252102083126676
135,0.0,eri prudente.,eri prudente.,7,0.5831109165459498,0.42664102854615754,18.358265236518946
136,0.09090909090909091,Sovrannoi avea facto lo nimico,Sovr'a ·nnoi avea facto lo nimico,19,0.7050628605277464,0.4370984738680839,18.834430281155523
137,0.09375,granda canto tu li desti scacco,grand' acatto tu li desti scacco,13,0.6460765179094061,0.4418720514150971,19.44383456152802
138,0.03125,matto tal ke sempre sta dolente,matto tal ke sempre sta dolente.,15,0.6946456993685833,0.4296727793638645,20.007278441606694
139,0.0,Benedicta tu reina colla gratia,Benedicta tu reina colla gratia,14,0.6833866230348944,0.4588531189232144,23.106388633139414
140,0.0,divina archa piena de doctrina,divina archa piena de doctrina,13,0.6959324421239731,0.4805978530021433,21.68705526673201
141,0.0,d'abundantia corrente.,d'abundantia corrente.,13,0.7021028781700326,0.4225019079073753,19.67656793044065
142,0.0,Tu sè fede tu sperança da cui vie,Tu sè fede tu sperança da cui vie,18,0.6977376218375727,0.43705370921686726,23.066540883647033
143,0.09090909090909091,né consolança bene gioia et alle,ne consolança ben è gioia et alle,15,0.7080486125469613,0.38835945861914034,18.776257284434784
144,0.0,grança a chi del tuo dolçor sente.,grança a chi del tuo dolçor sente.,17,0.6600099504413132,0.3800152878663508,21.671496334470703
145,0.0,Li rai de la tua lumera splendiente,Li rai de la tua lumera splendiente,16,0.6955238462800771,0.4516399698082525,23.29183503877447
146,0.11764705882352941,sesmera di te sol prende l'aspera,se smera di te sol prende sa spera,17,0.7323541030369797,0.440566267815916,18.701309635605206
147,0.15,pero ke se relucente.,peroké sè relucente.,12,0.6720894381988843,0.42966200977723523,21.350209915632046
148,0.058823529411764705,Konorata sè dal Padre di cun tu sè,Honorata sè dal Padre di cui tu sè,18,0.6895171150370559,0.42352270948005416,23.371859207852815
149,0.125,filia et madre intrinitasancta,filia et madre in Trinità sancta,14,0.6964684779379323,0.41826435061654227,20.972409578945562
150,0.030303030303030304,quadre insustantia luce ardente.,quadre in sustantia luce ardente.,14,0.675303071074823,0.4296644446830191,21.42810555041899
151,0.058823529411764705,Tu the savro tu richeçça tu virtude,Tu thesauro tu richeçça tu virtude,16,0.6757894537922148,0.4535707459018368,20.085562238513006
152,0.08571428571428572,tu largheçça tu semperial forteça,tu largheçça tu sè 'mperial forteça,17,0.6954918572650035,0.4112636563028851,21.68304701276147
153,0.0,per corona resplendente.,per corona resplendente.,11,0.6720226799562339,0.4446566854825987,18.266757592936134
154,0.030303030303030304,O Maria virgo degna prega Cristo,O Maria virgo degna priega Cristo,13,0.6510932771464781,0.46925502910337913,24.012718352283084
155,0.0,ke ne tegna al suo regno ne sove,ke ne tegna al suo regno ne sove,16,0.7290227546638997,0.41701247226112736,20.878073169150866
156,0.1724137931034483,gn'à per noi sì en tercedente.,gna per noi sia entercedente.,14,0.6596292094193856,0.38009419199087596,20.86722099465211
157,0.0,Garço canta cun dolçore per te versi,Garço canta cun dolçore per te versi,18,0.709024226058552,0.425481356892604,21.2890984777855
158,0.19444444444444445,cun l'audore disse plena de savore,cun laudore. Sì ·ssè plena de savore,19,0.6918471301895245,0.47057790287036394,20.64053222609334
159,0.0,cielo e terra fai fluente.,cielo e terra fai fluente.,13,0.654433012956531,0.41587605109663944,20.310766933302283
160,0.034482758620689655,O divana virgo flore aulorita,O divina virgo flore aulorita,14,0.6923009759486497,0.4724880208758974,20.31475444926345
161,0.0,d'ogne aulore.,d'ogne aulore.,11,0.7099119505052293,0.4204022565868893,18.008878978805527
162,0.125,Tu sè flor ke sempre gran e mo 'n,Tu sè flor ke sempre grane molta,16,0.6858211367355396,0.37558599309905255,20.67585255624725
163,0.09090909090909091,ti e non ferventi ma dei servidora,ti e non serventi ma deiservidori,15,0.7157243936411192,0.4145020137937802,19.95894317570963
164,0.0,eramo facti da cului tracti,eramo facti da cului tracti,12,0.6080393701899274,0.42659835938469753,21.584165955129706
165,0.10526315789473684,ke tutor fallente.,k'è tutor fallente.,10,0.6686148223522157,0.4227528939418289,19.21001865467099
166,0.11764705882352941,Le fresco gillio bianço e v'emeglo,Lo fresco gillio bianco e vermeglo,17,0.6985239400071618,0.451396623446134,20.63453885353628
167,0.20588235294117646,nationquesto mondo perdar con,nat' è 'n questo mondo per dar con,17,0.6823783286661859,0.4431467563037109,17.970821843336164
168,0.0,seglo de fugir pillio de quel,seglo de fugir pillio de quel,14,0.6914191344737844,0.3888687315996537,21.859964286110223
169,0.0,Per divino spiramento folli dato,Per divino spiramento folli dato,13,0.6290314256751142,0.45940366440801994,23.337851313440453
170,0.03225806451612903,en tendimento de salvar da perde,entendimento de salvar da perde,13,0.6831582119536589,0.4384157987886078,18.712084339213597
171,0.0,mento molti k'eran peccatori.,mento molti k'eran peccatori.,17,0.7124627186337283,0.456057117541194,22.65573879549479
172,0.0,A laude de la Trinitate l'ordine tre,A laude de la Trinitate l'ordine tre,15,0.7374961833915573,0.45378544608142746,20.851055391604525
173,0.0,da lui plantate per lo mondo dilata,da lui plantate per lo mondo dilata,14,0.7137012615777328,0.4446890643125269,23.135367420387656
174,0.0,te fanno fructo cun aulore.,te fanno fructo cun aulore.,16,0.733858891514108,0.47765392798543393,24.03394754228797
175,0.0,Li poveri frati minore de Cristo se,Li poveri frati minore de Cristo se,15,0.6974120885883693,0.42819652976365946,21.767273870911815
176,0.0,guitatore de le gente son doctori,guitatore de le gente son doctori,14,0.7348215454368923,0.41646112443035854,19.862046869737696
177,0.043478260869565216,predecando sençerrore.,predecando senç'errore.,13,0.6422799687860241,0.41330670960494736,18.023104566792316
178,0.0,L'altre son le pretiose margarite,L'altre son le pretiose margarite,15,0.7141968584254738,0.495759013670787,21.186462306976214
179,0.09375,gratiose vergeni donne recebiuse,gratiose vergeni donne renchiuse,14,0.6526414529964484,0.4384585359142056,20.646026760647178
180,0.0,per amor del criatore.,per amor del criatore.,12,0.6661998342041205,0.42863897056155054,20.510256031900116
181,0.03125,meçço a tutto 'l mondo per a lumi,meçço a tutto 'l mondo per alumi,17,0.7103196667283955,0.4080634412126625,19.10821091254097
182,0.0,nar la gente.,nar la gente.,8,0.6493199997918688,0.4253593973350181,20.684424184619274
183,0.12121212121212122,Le tre magi lamber veduto tosto,Le tre 'Magi l'abber veduto tosto,18,0.7056061539079834,0.4978052932113447,19.0036325667851
184,0.0,l'ebber cognosciuto diser nat' è,l'ebber cognosciuto diser nat' è,17,0.6929055144583508,0.43194676927800296,19.56807256430906
185,0.0,lo saluto Dio Padre omnipotente.,lo saluto Dio Padre omnipotente.,14,0.6754672957137237,0.4443872438434777,20.986658843901427
186,0.2,Quasche cum col suo reame sìllo,Ciaschedun col suo reame sì lo,16,0.6834674901656623,0.3951745440524246,19.70067097555692
187,0.2777777777777778,prese a seguntare corne conferte.,prese a seguitare co ·rricc' offerte,18,0.6967868095234098,0.400835347473372,19.154792037275058
188,0.02702702702702703,da laudare la qualfo molt' avenente.,da laudare la qual fo molt' avenente.,15,0.674844279549766,0.39704275886396173,20.855719510710152
189,0.03333333333333333,prender humanitate et dar si in,prender humanitate et darsi in,12,0.6765472193671038,0.44014703265890315,20.28599117364168
190,0.35714285714285715,altrui podestade quei ke sovra,altrui podestade k'è sovr' o,16,0.7188806205470131,0.4046599432655952,19.626536503407124
191,0.23076923076923078,gne pò deroso.,gne poderoso?,9,0.6978828527511064,0.44417131730343357,19.894752038332122
192,0.09375,Po deroso fe discesa chiusamente.,Poderoso fe' discesa chiusamente,15,0.7088975133101424,0.46517217042789505,21.53617516358684
193,0.15151515151515152,fe messaggio ad quella morosap,fe' messaggio ad quella amoros' a,15,0.6987555785538662,0.4327893438580183,20.90682148916627
194,0.09090909090909091,presa donna di grand' umilitagio,ppresa donna di grand' umiltaggio,14,0.6626979925540232,0.4339572355334214,19.678554041036723
195,0.08823529411764706,annuntiòlle comm' essaggio l'angelo,annuntiòlle com messaggio l'angelo,17,0.7057094145226496,0.443325501683134,18.40018093823587
196,0.2222222222222222,gabbriel beato et dice casto ordina,Gabriel beato et dix è Cristo ordina,16,0.6970307008540766,0.4331099298073411,23.177960619096993
197,0.0,to in te donna venir rinchiuso.,to in te donna venir rinchiuso.,15,0.7086497666085891,0.4404966235567123,22.063559356958923
198,0.19444444444444445,R inchiuso questo cun sera può ké don,Rinchiuso questo cum serà puoké d'om,17,0.6732884221964212,0.4163353409677361,21.19330174081364
199,0.14285714285714285,non aisabença spirito santo in te,non ài sabença? Spirito Santo in te,16,0.6904058971146902,0.4428900266394644,21.05014307007275
200,0.06060606060606061,verra quei k'à in sè ongne potença,verà quei k'à in sè ongne potença,19,0.6816527417127192,0.3995830333451978,22.339621787988797
201,0.07894736842105263,et agia questo per sententia a lor dis,et agia questo per sententia. Alor dis,16,0.7129475718527412,0.4080975902788738,21.804749935864642
202,0.0,se la dolçe polçella de l'alto Dio,se la dolçe polçella de l'alto Dio,19,0.6924468851594094,0.39961482893391004,19.974652582595702
203,0.24242424242424243,mit' en gancella sia de me comai,mi teng' ancella sia de me com'ài,18,0.6446119176437644,0.4044324361612594,21.08949382874789
204,0.0,resposo.,resposo.,7,0.6338434265590197,0.4620268567923575,16.605270606723156
205,0.05128205128205128,Resposo tal concepec Ihesù Cristo salvia,Resposo tal concepeo Ihesù Cristo salva,18,0.6802591910613649,0.42788127667149223,20.913755671249824
206,0.058823529411764705,tore lo qual essa partuno fuor de,tore lo qual essa parturio fuor de,15,0.6990782581205032,0.4373151722691901,23.175400694203503
207,0.03333333333333333,pena e de dolore in gran vilta,pena e de dolore in gran viltà,15,0.7123102079533559,0.43581017402617306,19.274201654704886
208,0.05714285714285714,da ceto et di fel potato et cun duo,d'aceto et di fel potato et cun duo,15,0.6895342034667171,0.39913972166151956,18.020011949511474
209,0.35135135135135137,ladroni cruci suro ins' e mossenti en,ladroni crucifixo inferno 'l sentì en,16,0.6826518480573283,0.4039968917916053,18.904303759320896
210,0.25,nabisi e tutt' mondo tenebio o,n abisso e tutto 'l mondo tenebroso.,19,0.679334182827596,0.4589636502204663,17.202420864131657
